4.160544218	4.160544218	5g
4.266666667	4.266666667	
4.374603175	4.374603175	
4.467120181	4.467120181	
4.56553288	4.56553288	
4.659410431	4.659410431	
4.750113379	4.750113379	
4.841723356	4.841723356	
46.060408163000005	46.060408163000005	5h2
46.164897958999994	46.164897958999994	
46.523356009	46.523356009	
46.638730159	46.638730159	
46.761360544	46.761360544	
46.854920635	46.854920635	
46.974285714	46.974285714	
47.079183673	47.079183673	
47.197777778	47.197777778	
47.319365078999994	47.319365078999994	
47.422539683000004	47.422539683000004	
47.542539683	47.542539683	
47.622539683	47.622539683	
51.237006803	51.237006803	5h3
51.338231293	51.338231293	
51.440544218	51.440544218	
51.577687075	51.577687075	
51.66585034	51.66585034	
52.354829932	52.354829932	5h4
52.456054422	52.456054422	
52.533333333	52.533333333	
52.628027211	52.628027211	
68.099863946	68.099863946	6a
68.304217687	68.304217687	
68.424761905	68.424761905	
68.547210884	68.547210884	
68.662312925	68.662312925	
68.778231293	68.778231293	
68.88680272100001	68.88680272100001	
68.997278912	68.997278912	
69.10122449	69.10122449	
69.20843537399999	69.20843537399999	
69.313197279	69.313197279	
69.41632653100001	69.41632653100001	
69.523537415	69.523537415	
72.575963719	72.575963719	6b
72.896870748	72.896870748	
73.003174603	73.003174603	
73.123809524	73.123809524	
73.222857143	73.222857143	
73.32952381	73.32952381	
73.428571429	73.428571429	
73.536507937	73.536507937	
73.657142857	73.657142857	
73.769795918	73.769795918	
73.869206349	73.869206349	
73.994920635	73.994920635	
74.115555556	74.115555556	
74.210884354	74.210884354	
74.323809524	74.323809524	
74.41632653100001	74.41632653100001	
74.485260771	74.485260771	
74.582312925	74.582312925	
74.703492063	74.703492063	
74.808888889	74.808888889	
74.901587302	74.901587302	
75.00952381	75.00952381	
75.102222222	75.102222222	
75.212698413	75.212698413	
75.302857143	75.302857143	
75.406984127	75.406984127	
75.508571429	75.508571429	
75.60181405899999	75.60181405899999	
75.67256235800001	75.67256235800001	
75.758730159	75.758730159	
75.90095238100001	75.90095238100001	
76.01904761899999	76.01904761899999	
76.11065759600001	76.11065759600001	
76.187755102	76.187755102	
76.294331066	76.294331066	
76.394557823	76.394557823	
76.49750566899999	76.49750566899999	
76.59773242600001	76.59773242600001	
76.698412698	76.698412698	
76.799546485	76.799546485	
76.904761905	76.904761905	
77.013605442	77.013605442	
77.118367347	77.118367347	
77.22585034	77.22585034	
77.331519274	77.331519274	
77.430385488	77.430385488	
77.528798186	77.528798186	
77.648979592	77.648979592	
77.75600907	77.75600907	
77.854875283	77.854875283	
77.96462585	77.96462585	
78.05986394600001	78.05986394600001	
78.157823129	78.157823129	
78.255782313	78.255782313	
78.35011337899999	78.35011337899999	
78.439002268	78.439002268	
78.533333333	78.533333333	
78.624036281	78.624036281	
78.719727891	78.719727891	
78.808163265	78.808163265	
78.914285714	78.914285714	
79.008163265	79.008163265	
79.10430839	79.10430839	
79.201360544	79.201360544	
79.314285714	79.314285714	
79.412244898	79.412244898	
79.50657596399999	79.50657596399999	
79.605442177	79.605442177	
79.698866213	79.698866213	
79.791836735	79.791836735	
79.891609977	79.891609977	
79.988208617	79.988208617	
80.099319728	80.099319728	
80.184126984	80.184126984	
80.282086168	80.282086168	
80.372335601	80.372335601	
80.47573696100001	80.47573696100001	
80.566439909	80.566439909	
80.66122449	80.66122449	
80.755555556	80.755555556	
80.85850340100001	80.85850340100001	
80.959637188	80.959637188	
81.073015873	81.073015873	
81.1569161	81.1569161	
81.25260771	81.25260771	
81.34104308399999	81.34104308399999	
81.43628117899999	81.43628117899999	
102.83174603200001	102.83174603200001	7
102.954648526	102.954648526	
103.068027211	103.068027211	
103.170975057	103.170975057	
103.268480726	103.268480726	
103.37868480700001	103.37868480700001	
103.53151927399999	103.53151927399999	
103.721088435	103.721088435	
103.811337868	103.811337868	
103.90566893399999	103.90566893399999	
103.993197279	103.993197279	
104.08707483	104.08707483	
104.16961451200001	104.16961451200001	
104.26031746	104.26031746	
104.345578231	104.345578231	
104.424036281	104.424036281	
104.526984127	104.526984127	
104.620861678	104.620861678	
104.715646259	104.715646259	
104.801814059	104.801814059	
104.88798185899999	104.88798185899999	
104.985034014	104.985034014	
105.088435374	105.088435374	
105.18276644	105.18276644	
105.28299319700001	105.28299319700001	
105.38730158700001	105.38730158700001	
105.493877551	105.493877551	
105.599092971	105.599092971	
105.70430839	105.70430839	
105.81224489799999	105.81224489799999	
105.912018141	105.912018141	
106.023129252	106.023129252	
106.118820862	106.118820862	
106.224489796	106.224489796	
106.321995465	106.321995465	
106.419501134	106.419501134	
106.523809524	106.523809524	
106.61950113399999	106.61950113399999	
106.72380952399999	106.72380952399999	
106.819047619	106.819047619	
106.924716553	106.924716553	
107.028571429	107.028571429	
107.113378685	107.113378685	
107.228117914	107.228117914	
107.317913832	107.317913832	
107.428117914	107.428117914	
107.514285714	107.514285714	
107.604535147	107.604535147	
107.689342404	107.689342404	
107.78684807299999	107.78684807299999	
107.873922902	107.873922902	
107.963265306	107.963265306	
108.05306122399999	108.05306122399999	
108.146938776	108.146938776	
108.228117914	108.228117914	
108.321995465	108.321995465	
108.413605442	108.413605442	
108.502040816	108.502040816	
108.593650794	108.593650794	
108.6861678	108.6861678	
108.77324263	108.77324263	
108.863945578	108.863945578	
108.957369615	108.957369615	
109.046712018	109.046712018	
109.14467120200001	109.14467120200001	
109.242630385	109.242630385	
109.329705215	109.329705215	
109.426303855	109.426303855	
109.51836734700001	109.51836734700001	
109.614965986	109.614965986	
109.70612244899999	109.70612244899999	
109.802721088	109.802721088	
